# 指令元数据 - 指令名称和描述
FUSE_INSTRUCTION_BREAKPOINT_NAME,断点,Breakpoint
FUSE_INSTRUCTION_ROTATE_BY_DESC,相对于当前旋转旋转节点（支持 2D/3D），支持全局/局部坐标系，支持从变量读取偏移,Rotates a node by an offset relative to its current rotation (supports 2D/3D), supports global/local coordinate systems, supports reading offset from variable

# 指令分类
FUSE_CATEGORY_DEBUG,调试,Debug
FUSE_CATEGORY_VARIABLES,变量,Variables
FUSE_CATEGORY_VARIABLE,变量,Variable
FUSE_CATEGORY_VARIABLE_OPERATIONS,变量操作,Variable Operations
FUSE_CATEGORY_FLOW_CONTROL,流程控制,Flow Control
FUSE_CATEGORY_NODE_OPERATIONS,节点操作,Node Operations
FUSE_CATEGORY_NODE,节点,Node
FUSE_CATEGORY_LOGIC,逻辑,Logic
FUSE_CATEGORY_MATH,数学,Math
FUSE_CATEGORY_INPUT,输入,Input
FUSE_CATEGORY_SYSTEM,系统,System
FUSE_CATEGORY_TRANSFORM,变换操作,Transform
FUSE_CATEGORY_SCENE_MANAGEMENT,场景管理,Scene Management
FUSE_CATEGORY_AUDIO,音频,Audio

# 事件元数据
FUSE_EVENT_ON_READY_NAME,场景就绪,Scene Ready
FUSE_EVENT_ON_READY_DESC,场景就绪时触发（可选延迟）,Triggers when the scene is ready (optional delay)
FUSE_EVENT_ON_AREA_2D_ENTER_NAME,区域进入,Area Entered
FUSE_EVENT_ON_AREA_2D_ENTER_DESC,当物体进入 2D 区域时触发,Triggers when an object enters a 2D area
FUSE_EVENT_ON_AREA_2D_EXITED_NAME,区域离开,Area Exited
FUSE_EVENT_ON_AREA_2D_EXITED_DESC,当物体离开 2D 区域时触发,Triggers when an object exits a 2D area
FUSE_EVENT_ON_AREA_3D_EXITED_NAME,区域离开（3D）,Area Exited (3D)
FUSE_EVENT_ON_AREA_3D_EXITED_DESC,当物体离开 3D 区域时触发,Triggers when an object exits a 3D area
FUSE_EVENT_ON_AREA_3D_ENTERED_NAME,区域进入（3D）,Area Entered (3D)
FUSE_EVENT_ON_AREA_3D_ENTERED_DESC,当物体进入 3D 区域时触发,Triggers when an object enters a 3D area
FUSE_EVENT_ON_AREA_3D_ENTERED_DESC_ONCE,当 %s 首次进入 %s 时触发,Triggers when %s enters %s for the first time
FUSE_EVENT_ON_AUDIO_FINISHED_NAME,音频播放完成,Audio Finished
FUSE_EVENT_ON_AUDIO_FINISHED_DESC,当 AudioStreamPlayer 播放完成时触发,Triggers when AudioStreamPlayer finishes playing
FUSE_EVENT_ON_AUDIO_BUS_VOLUME_CHANGED_NAME,音频总线音量变化,Audio Bus Volume Changed
FUSE_EVENT_ON_AUDIO_BUS_VOLUME_CHANGED_DESC,监听音频总线音量变化，使用轮询检查模式,Monitors audio bus volume changes using polling mode
FUSE_EVENT_ON_SOUND_LISTENED_NAME,声音被听到,Sound Listened
FUSE_EVENT_ON_SOUND_LISTENED_DESC,检测声音是否被监听器"听到"（基于距离和方向）,Detects if sound is "heard" by listener (based on distance and direction)
FUSE_EVENT_ON_INPUT_KEY_NAME,按键输入,Key Input
FUSE_EVENT_ON_INPUT_KEY_DESC,当按下指定按键时触发,Triggers when a specified key is pressed
FUSE_EVENT_ON_INPUT_ACTION_NAME,动作输入,Action Input
FUSE_EVENT_ON_INPUT_ACTION_DESC,当输入动作被触发时触发,Triggers when an input action is triggered
FUSE_EVENT_ON_TARGET_SIGNAL_EMIT_NAME,目标信号发出,Target Signal Emitted
FUSE_EVENT_ON_TARGET_SIGNAL_EMIT_DESC,当目标节点发出指定信号时触发,Triggers when the target node emits a specified signal
FUSE_EVENT_ON_SCREEN_ENTERED_EXITED_NAME,屏幕进入/离开,Screen Entered/Exited
FUSE_EVENT_ON_SCREEN_ENTERED_EXITED_DESC,节点进入或离开摄像机视野时触发，使用定期检查模式,Triggers when a node enters or exits camera viewport, uses polling mode
FUSE_LOG_EVENT_SCREEN_ENTERED,节点进入屏幕视野,Node entered screen viewport
FUSE_LOG_EVENT_SCREEN_EXITED,节点离开屏幕视野,Node exited screen viewport
FUSE_LOG_EVENT_SCREEN_CHECK_STARTED,开始屏幕检查，间隔：{interval} 秒,Started screen check, interval: {interval} seconds
FUSE_ERROR_CAMERA_NOT_FOUND,未找到相机节点：{node_path},Camera node not found: {node_path}
FUSE_ERROR_CHECK_INTERVAL_INVALID,检查间隔必须大于 0（当前值：{interval}）,Check interval must be greater than 0 (current: {interval})

# 事件分类
FUSE_EVENT_CATEGORY_SCENE,场景,Scene
FUSE_EVENT_CATEGORY_INPUT,输入,Input
FUSE_EVENT_CATEGORY_PHYSICS,物理,Physics
FUSE_EVENT_CATEGORY_SIGNAL,信号,Signal
FUSE_EVENT_CATEGORY_COLLISION,碰撞,Collision
FUSE_EVENT_CATEGORY_ANIMATION,动画,Animation
FUSE_EVENT_CATEGORY_AUDIO,音频,Audio
FUSE_EVENT_CATEGORY_GAMEPLAY,游戏玩法,Gameplay
FUSE_EVENT_CATEGORY_LIFECYCLE,生命周期,Lifecycle
FUSE_EVENT_CATEGORY_NODE,节点,Node
FUSE_EVENT_CATEGORY_TIMER,时间,Timer
FUSE_EVENT_CATEGORY_UI,界面,UI
FUSE_EVENT_CATEGORY_STATE,状态,State

# 条件元数据

# P0 - Composite Conditions (复合逻辑条件)
FUSE_CONDITION_NOT_NAME,非,Not
FUSE_CONDITION_NOT_DESC,对条件结果取反（NOT 逻辑）,Inverts the condition result (NOT logic)
FUSE_CONDITION_ALL_NAME,所有条件满足,All
FUSE_CONDITION_ALL_DESC,所有子条件都必须满足（AND 逻辑）,All sub-conditions must be true (AND logic)
FUSE_CONDITION_ANY_NAME,任意条件满足,Any
FUSE_CONDITION_ANY_DESC,任意一个子条件满足即可（OR 逻辑）,Any sub-condition can be true (OR logic)
FUSE_CONDITION_COMPOSITE_NAME,条件组合,Composite
FUSE_CONDITION_COMPOSITE_DESC,灵活的条件组合（支持 AND/OR/NOT）,Flexible condition combination (supports AND/OR/NOT)
FUSE_CATEGORY_COMPOSITE,复合逻辑,Composite Logic

# P1 - Distance & Position (距离与位置条件)
FUSE_CONDITION_DISTANCE_NAME,对象距离,Distance
FUSE_CONDITION_DISTANCE_DESC,检查两个节点之间的距离,Checks distance between two nodes
FUSE_CATEGORY_DISTANCE,距离,Distance

# P1 - Node Conditions (节点条件)
FUSE_CONDITION_NODE_ACTIVE_NAME,节点激活,Node Active
FUSE_CONDITION_NODE_ACTIVE_DESC,检查节点是否激活/可见,Checks if node is active/visible
FUSE_CONDITION_NODE_IN_GROUP_NAME,节点组检测,In Group
FUSE_CONDITION_NODE_IN_GROUP_DESC,检查节点是否在指定组中,Checks if node is in specified group

# P1 - Physics Conditions (物理条件)
FUSE_CONDITION_ON_FLOOR_NAME,在地面上,On Floor
FUSE_CONDITION_ON_FLOOR_DESC,检查节点是否在地面上,Checks if node is on floor
FUSE_CONDITION_IN_AIR_NAME,在空中,In Air
FUSE_CONDITION_IN_AIR_DESC,检查节点是否在空中,Checks if node is in air

# P1 - Time Conditions (时间条件)
FUSE_CONDITION_TIME_REACHED_NAME,时间到达,Time Reached
FUSE_CONDITION_TIME_REACHED_DESC,检查是否到达指定时间,Checks if specified time has been reached

# P1 - Input Conditions (输入条件)
FUSE_CONDITION_INPUT_PRESSED_NAME,按键按下,Input Pressed
FUSE_CONDITION_INPUT_PRESSED_DESC,检查输入动作是否按下,Checks if input action is pressed
FUSE_CONDITION_INPUT_RELEASED_NAME,按键释放,Input Released
FUSE_CONDITION_INPUT_RELEASED_DESC,检查输入动作是否释放,Checks if input action is released
FUSE_CONDITION_INPUT_HELD_NAME,按键持续按住,Input Held
FUSE_CONDITION_INPUT_HELD_DESC,检查输入动作是否持续按住,Checks if input action is held down
FUSE_CONDITION_ANY_INPUT_NAME,任意输入,Any Input
FUSE_CONDITION_ANY_INPUT_DESC,检测是否有任何键盘或手柄的按键输入,Detects if any keyboard or gamepad button input

# P1 - Variable Conditions (变量条件)
FUSE_CONDITION_CHECK_VARIABLE_NAME,变量检查,Check Variable
FUSE_CONDITION_CHECK_VARIABLE_DESC,检查变量是否等于指定值,Checks if variable equals specified value

# Legacy Condition Metadata (保留向后兼容)
FUSE_CONDITION_VARIABLE_COMPARISON_NAME,变量比较,Variable Comparison
FUSE_CONDITION_VARIABLE_COMPARISON_DESC,比较变量值与给定值的关系,Compares the value of a variable with a given value
FUSE_CONDITION_VECTOR2_AXIS_CHECK_NAME,Vector2 轴检查,Vector2 Axis Check
FUSE_CONDITION_VECTOR2_AXIS_CHECK_DESC,检查 Vector2 变量的指定轴是否满足条件,Checks if a specific axis of a Vector2 variable meets a condition
FUSE_CONDITION_VECTOR2_AXIS_CHECK_NOT_SET,Vector2 轴检查 (未设置变量),Vector2 Axis Check (variable not set)
FUSE_CONDITION_VECTOR2_AXIS_X,X,X
FUSE_CONDITION_VECTOR2_AXIS_Y,Y,Y
FUSE_CONDITION_NODE_PROPERTY_CHECK_NAME,节点属性检查,Node Property Check
FUSE_CONDITION_NODE_PROPERTY_CHECK_DESC,检查节点的指定属性是否等于给定值,Checks if a node property equals a given value
FUSE_CONDITION_NODE_EXISTS_NAME,节点存在性检查,Node Exists Check
FUSE_CONDITION_NODE_EXISTS_DESC,检查指定路径的节点是否存在,Checks if a node at the specified path exists

# 错误消息
FUSE_ERROR_MESSAGE_EMPTY,消息内容不能为空,Message content cannot be empty
FUSE_ERROR_VAR_NAME_EMPTY,变量名称不能为空,Variable name cannot be empty
FUSE_ERROR_VAR_NOT_FOUND,未找到变量：{name},Variable '{name}' not found
FUSE_ERROR_VAR_NOT_VECTOR2,变量 '%s' 不是 Vector2 类型,Variable '%s' is not of Vector2 type
FUSE_ERROR_VAR_ALREADY_EXISTS,变量已存在：{name},Variable already exists: {name}
FUSE_ERROR_VAR_TYPE_MISMATCH,"变量类型不匹配，期望：{expected}，实际：{actual}","Variable type mismatch, expected: {expected}, actual: {actual}"
FUSE_ERROR_EXECUTION_FAILED,指令执行失败：{error},Instruction execution failed: {error}
FUSE_ERROR_VALIDATION_FAILED,参数验证失败,Parameter validation failed
FUSE_ERROR_CONFIG_ERROR,配置错误,Configuration error
FUSE_ERROR_RUNTIME_ERROR,运行时错误,Runtime error
FUSE_ERROR_TIMEOUT_ERROR,超时错误,Timeout error
FUSE_ERROR_TARGET_NODE_NULL,目标节点为空,Target node is null
FUSE_ERROR_TARGET_NODE_NOT_FOUND,未找到目标节点,Target node not found
FUSE_ERROR_TARGET_NODE_EMPTY,目标节点路径为空,Target node path is empty
FUSE_ERROR_INVALID_TARGET,目标节点类型无效,Invalid target node type
FUSE_ERROR_AUDIO_BUS_NAME_EMPTY,音频总线名称不能为空,Audio bus name cannot be empty
FUSE_ERROR_AUDIO_BUS_NOT_FOUND,未找到音频总线：{bus_name},Audio bus not found: {bus_name}
FUSE_ERROR_VOLUME_THRESHOLD_INVALID,音量阈值不能为负数（当前值：{threshold}）,Volume threshold cannot be negative (current: {threshold})
FUSE_ERROR_SOUND_SOURCE_EMPTY,声源节点路径不能为空,Sound source path cannot be empty
FUSE_ERROR_LISTENER_EMPTY,监听器节点路径不能为空,Listener path cannot be empty
FUSE_ERROR_INVALID_SOUND_SOURCE,声源节点必须是 AudioStreamPlayer2D 或 AudioStreamPlayer3D,Sound source must be AudioStreamPlayer2D or AudioStreamPlayer3D
FUSE_ERROR_DISTANCE_INVALID,距离不能为负数（当前值：{distance}）,Distance cannot be negative (current: {distance})
FUSE_ERROR_CHECK_INTERVAL_INVALID,检查间隔必须大于 0（当前值：{interval}）,Check interval must be greater than 0 (current: {interval})
FUSE_ERROR_FUNCTION_NOT_FOUND,未找到函数：{name},Function not found: {name}
FUSE_ERROR_PROPERTY_NOT_FOUND,未找到属性：{name},Property not found: {name}
FUSE_ERROR_PROPERTY_READ_ONLY,属性是只读的,Property is read-only
FUSE_ERROR_INVALID_PARAMETER,无效参数：{name},Invalid parameter: {name}
FUSE_ERROR_INDEX_OUT_OF_RANGE,索引超出范围,Index out of range

# UI 文本 - 指令选择器
FUSE_UI_INSTRUCTION_SELECTOR_TITLE,指令选择器,Instruction Selector
FUSE_UI_SEARCH_PLACEHOLDER,搜索指令...,Search instructions...
FUSE_UI_NO_INSTRUCTIONS_FOUND,未找到指令,No instructions found
FUSE_UI_SELECT_INSTRUCTION,选择指令,Select Instruction

# UI 文本 - 组件选择器（Event/Condition）
FUSE_UI_EVENT_SELECTOR_TITLE,选择事件,Select Event
FUSE_UI_CONDITION_SELECTOR_TITLE,选择条件,Select Condition
FUSE_UI_COMPONENT_SELECTOR_TITLE,选择组件,Select Component
FUSE_UI_SEARCH_EVENT_PLACEHOLDER,搜索事件...,Search events...
FUSE_UI_SEARCH_CONDITION_PLACEHOLDER,搜索条件...,Search conditions...
FUSE_UI_SEARCH_COMPONENT_PLACEHOLDER,搜索组件...,Search components...
FUSE_UI_NO_COMPONENTS_FOUND,未找到组件,No components found
FUSE_UI_BTN_CLICK_TO_SELECT_EVENT,点击以选择事件...,Click to Select Event...
FUSE_UI_BTN_CLICK_TO_SELECT_EVENT_TOOLTIP,点击以选择事件,Click to select event
FUSE_UI_BTN_CLICK_TO_SELECT_CONDITION,点击以选择条件...,Click to Select Condition...
FUSE_UI_BTN_CLICK_TO_SELECT_CONDITION_TOOLTIP,点击以选择条件,Click to select condition
FUSE_UI_BTN_CLICK_TO_SELECT_INSTRUCTION,点击以添加指令...,Click to Add Instruction...
FUSE_UI_BTN_CLICK_TO_SELECT_INSTRUCTION_TOOLTIP,点击以添加指令,Click to add instruction
FUSE_UI_BTN_CLICK_TO_SELECT_COMPONENT,点击以选择组件...,Click to Select Component...
FUSE_UI_BTN_CLICK_TO_SELECT_COMPONENT_TOOLTIP,点击以选择组件,Click to select component

# UI 文本 - 输入键选择器
FUSE_UI_INPUT_KEY_SELECTOR_TITLE,输入键选择器,Input Key Selector
FUSE_UI_BTN_SELECT_KEY,选择按键,Select Key
FUSE_UI_KEY_LABEL,按键,Key
FUSE_UI_INSTRUCTION_CLICK_TO_START,"点击下方按钮，然后按下任意键","Click the button below, then press any key"
FUSE_UI_BTN_START_CAPTURE,开始捕获按键,Start Capturing Key
FUSE_UI_WAITING_FOR_KEY,请按下任意键...,Press any key...

# UI 文本 - 按钮
FUSE_UI_BTN_ADD,添加,Add
FUSE_UI_BTN_REMOVE,移除,Remove
FUSE_UI_BTN_EDIT,编辑,Edit
FUSE_UI_BTN_DELETE,删除,Delete
FUSE_UI_BTN_APPLY,应用,Apply
FUSE_UI_BTN_CANCEL,取消,Cancel
FUSE_UI_BTN_OK,确定,OK
FUSE_UI_BTN_YES,是,Yes
FUSE_UI_BTN_NO,否,No
FUSE_UI_BTN_SAVE,保存,Save
FUSE_UI_BTN_LOAD,加载,Load
FUSE_UI_BTN_RESET,重置,Reset
FUSE_UI_BTN_REFRESH,刷新,Refresh
FUSE_UI_BTN_CLICK_TO_ADD_INSTRUCTION,点击以添加指令...,Click to Add Instruction...
FUSE_UI_BTN_CLICK_TO_ADD_INSTRUCTION_TOOLTIP,点击以添加指令...,Click to add instruction...

# UI 文本 - 标签和提示
FUSE_UI_LABEL_NAME,名称,Name
FUSE_UI_LABEL_TYPE,类型,Type
FUSE_UI_LABEL_VALUE,值,Value
FUSE_UI_LABEL_CATEGORY,分类,Category
FUSE_UI_LABEL_DESCRIPTION,描述,Description
FUSE_UI_LABEL_VARIABLES,变量,Variables
FUSE_UI_LABEL_INSTRUCTIONS,指令,Instructions
FUSE_UI_LABEL_EVENTS,事件,Events
FUSE_UI_LABEL_CONDITIONS,条件,Conditions

# UI 文本 - 语言菜单
FUSE_UI_LANGUAGE_MENU,🌐 语言,Language
FUSE_UI_LANGUAGE_SETTINGS,语言设置,Language Settings

# 日志消息
FUSE_LOG_EXECUTION_STARTED,开始执行,Execution started
FUSE_LOG_EXECUTION_COMPLETED,执行完成,Execution completed
FUSE_LOG_EXECUTION_CANCELLED,执行已取消,Execution cancelled
FUSE_LOG_VARIABLE_ACCESS,访问变量：{name},Accessing variable: {name}
FUSE_LOG_VARIABLE_CREATED,创建变量：{name},Created variable: {name}
FUSE_LOG_VARIABLE_UPDATED,更新变量：{name},Updated variable: {name}
FUSE_LOG_VARIABLE_DELETED,删除变量：{name},Deleted variable: {name}
FUSE_LOG_OPERATION_SUCCESS,操作成功：{operation},Operation successful: {operation}
FUSE_LOG_OPERATION_FAILED,操作失败：{operation},Operation failed: {operation}
FUSE_LOG_COMPONENT_INITIALIZED,组件已初始化：{name},Component initialized: {name}
FUSE_LOG_FUNCTION_CALLED,调用函数：{name},Called function: {name}
FUSE_LOG_PROPERTY_SET,设置属性：{name} = {value},Set property: {name} = {value}

# 日志级别
FUSE_LOG_LEVEL_DEBUG,调试,Debug
FUSE_LOG_LEVEL_INFO,信息,Info
FUSE_LOG_LEVEL_WARNING,警告,Warning
FUSE_LOG_LEVEL_ERROR,错误,Error

# 事件日志 - 通用
FUSE_LOG_EVENT_INITIALIZED,事件已初始化：{event_type},Event initialized: {event_type}
FUSE_LOG_EVENT_TERMINATED,事件已终止：{event_type},Event terminated: {event_type}
FUSE_LOG_EVENT_RESET,事件已重置：{event_type},Event reset: {event_type}
FUSE_LOG_EVENT_TRIGGERED,事件已触发：{event_type},Event triggered: {event_type}
FUSE_LOG_EVENT_TRIGGERED_MANUALLY,事件手动触发：{event_type},Event manually triggered: {event_type}

# 事件日志 - Area3D
FUSE_LOG_EVENT_AREA_3D_ENTERED_TRIGGERED,3D区域进入事件触发，物体：{body},Area3D entered event triggered, body: {body}
FUSE_LOG_EVENT_AREA_3D_ENTERED_SKIPPED,3D区域进入跳过（不匹配组）：{body} - {group},Area3D entered skipped (group mismatch): {body} - {group}
FUSE_LOG_EVENT_AREA_3D_ENTERED_ALREADY_TRIGGERED,3D区域进入跳过（已触发）：{body},Area3D entered skipped (already triggered): {body}
FUSE_LOG_EVENT_AREA_3D_EXITED,3D区域离开事件，物体：{body},Area3D exited event, body: {body}

# 事件日志 - Audio
